place_id,restaurant_name,latitude,longitude,search_area,Anchor_Destinations,Daytime_Population,Commercial_Vitality
ChIJNanyFJYZ6zkR5ppk9lwCM5g,R n B Cafe,27.6896422,85.3355524,Baneshwor,0.179,0.6316,0.4815
ChIJ49I7hkkZ6zkRTIqKfjLUhkw,Cafe Bon tempo,27.691605,85.3404395,Baneshwor,0.113,0.5068,0.4731
ChIJZw_ydsoZ6zkRtv-xQ2p4o9E,New Park Lane Cafe & Stick Food,27.6899375,85.3345625,Baneshwor,0.1709,0.6369,0.4719
ChIJW5HHZ9AZ6zkR7wkycFFGihg,Chautari Cafe and Marsi Thakali,27.6861919,85.34616749999999,Baneshwor,0.1049,0.5236,0.4617
ChIJFxgXYgIZ6zkRBb2qR1iHwMA,The Third Space Cafe,27.728179800000003,85.3248121,Baneshwor,0.0057,0.0146,0.0169
ChIJOQNaJ7gZ6zkR4rlyKQ_H06I,The Mari Cafe,27.7033013,85.3233925,Baneshwor,0.0825,0.5935,0.4521
ChIJKTz-fgAb6zkRbznc_j12GTM,7 Corner's,27.6895644,85.3652216,Baneshwor,0.0123,0.066,0.0831
ChIJ62WTAAAZ6zkRFJ91CkCu-bo,Kathmandu : The Kafe,27.7071433,85.33315669999999,Baneshwor,0.095,0.261,0.2454
ChIJGebFEQAZ6zkRPskjC00KQqQ,Riverside cafe,27.6868742,85.3253409,Baneshwor,0.1009,0.3764,0.2601
ChIJ41bsJQAZ6zkRAd5BMFtLDvc,Kafemandu,27.7142514,85.2874633,Baneshwor,0.0,0.0,0.0
ChIJS0t1dIAZ6zkRy8TFUVDQ_MM,100s Cafe,27.7181981,85.33641159999999,Baneshwor,0.0,0.0019,0.0
ChIJZVS-1hgb6zkRRm4q19XoBzU,CHIABONGS,27.7197654,85.3614903,Baneshwor,0.0779,0.3201,0.2925
ChIJDfvwr5kZ6zkRS4kH4AKIL7I,Sunrise Café and Banquet- Mid Baneshwor,27.6965139,85.33750909999999,Baneshwor,0.1259,0.4837,0.3083
ChIJi2vXvwcZ6zkRgZcAu3CVx5U,Cuppas Cafe,27.7068936,85.32251749999999,Baneshwor,0.2338,0.6431,0.4916
ChIJm9z2YgIZ6zkRl_xLnL_RYdU,Cafe Central,27.7277942,85.33443899999999,Baneshwor,0.0,0.0,0.0
ChIJ7fFdzTEZ6zkRRKVC8khx_kc,Spot Cafe & Restro,27.7336627,85.3175128,Baneshwor,0.0,0.0,0.0
ChIJMagavIsZ6zkRuULwnOp4hQQ,Cafe Roshna de joe,27.7182567,85.3491572,Baneshwor,0.1452,0.3997,0.2859
ChIJJxdGNcAZ6zkRaLWeXojyguI,BM Café,27.7232147,85.33091569999999,Baneshwor,0.0048,0.0456,0.0213
ChIJ2-DCD_wY6zkRSuuvB-s0OxE,Cafe De Genre,27.7116266,85.3089788,Baneshwor,0.4305,0.4158,0.578
ChIJ81syaCAZ6zkRnio87hfzZyY,The Litre Cafe Korean Bbq,27.684552600000004,85.3343945,Baneshwor,0.1679,0.603,0.4832
ChIJCSnn8IEb6zkREiPjK4H-PZg,Jimmy Cafe,27.6942609,85.3665262,Baneshwor,0.0,0.0,0.0
ChIJZ5G_fEcZ6zkRjAar8lAW58s,Cafe Joshi,27.7373953,85.3344606,Baneshwor,0.0,0.0,0.0
ChIJDcylWPsY6zkRjKurQ0OfFEo,Coffee Ghar,27.7157191,85.30819079999999,Baneshwor,0.4657,0.4952,0.512
ChIJtRxQygcZ6zkRFKNUpuIFT90,London Cafe,27.7196274,85.31729419999999,Baneshwor,0.1403,0.2485,0.2555
ChIJs5P-vhUZ6zkRT_CyBRGKUf0,Cafe Soma,27.727644,85.3305889,Baneshwor,0.0,0.0,0.0
ChIJ447Vr_UZ6zkRzKmVcRhGDgk,The coffee pot,27.7390049,85.32407289999999,Baneshwor,0.0,0.0,0.0
ChIJF0fVmDQZ6zkRFwpl8c3gw44,The Country Coffee,27.740924,85.3346347,Baneshwor,0.0,0.0,0.0
ChIJF-frZQAZ6zkR2BasNHD8beU,Bhatti Chulo Lounge And Bar,27.6893391,85.330016,Baneshwor,0.1125,0.5154,0.3729
