place_id,restaurant_name,latitude,longitude,search_area,building_count_500m,Demand,Accessibility,Competition,Population
ChIJV1ueTQAb6zkR8ofJbwqYSzw,bhaktapur nepal,27.6716863,85.4078543,Bhaktapur durbar square,0,0.0,0.226,0.4932,0.0
ChIJS-BG2D8b6zkR3TX1lwJGMdI,Wild House Lounge And Bar,27.7187165,85.36986449999999,Bhaktapur durbar square,1839,0.2314,0.4472,0.4975,0.3215
ChIJQTsTBrob6zkRTDWuGJ2i0YY,Triple-Double Lounge & Bar,27.7207542,85.3664586,Bhaktapur durbar square,2094,0.223,0.4806,0.3671,0.3661
ChIJMRY0TCwR6zkRKT27qpwpdyw,One shot cafe and bar,27.6587506,85.4085803,Bhaktapur durbar square,0,0.0,0.2177,0.821,0.0
ChIJB-CTJpEb6zkRgBO9h_DMAkQ,The Red Triangle Snooker & Bar,27.6734257,85.37443069999999,Bhaktapur durbar square,0,0.0,0.2106,0.5481,0.0
ChIJza2-P68b6zkRCVaPf855noA,Khankii Lounge & Bar with Thakali,27.6730144,85.4048528,Bhaktapur durbar square,0,0.0,0.2198,0.5022,0.0
ChIJUTd8xf4b6zkRvCK6VRPEURM,ChillGhar,27.672584,85.37432629999999,Bhaktapur durbar square,0,0.0,0.209,0.4989,0.0
ChIJXUxIedsR6zkRsqYE0UMFv2Y,Kot Danda Valley View Restaurant and Bar,27.6206737,85.37648349999999,Bhaktapur durbar square,0,0.0,0.0513,1.0,0.0
ChIJ36hRDQAZ6zkRw4dWqMAkY_A,Hotel River Side Family Restaurant & Bar,27.6682206,85.3545974,Bhaktapur durbar square,428,0.042,0.2746,0.5153,0.0748
ChIJuze_dTEb6zkRjIcGL02ADtE,"Karuwa Food, Beverage, Restaurant bar &Tcafe",27.666213,85.36608939999999,Bhaktapur durbar square,0,0.0,0.2157,0.5214,0.0
ChIJQ7GEegAb6zkRuBst0OML_pg,Bhaktapur cake and coffee shop,27.6712485,85.4211892,Bhaktapur durbar square,2251,0.1543,0.3726,0.4664,0.3935
ChIJRZQgKLIa6zkR2zKHhwN1Xxs,Happy Cakes & Bakery,27.6762376,85.43231109999999,Bhaktapur durbar square,3728,0.2091,0.508,0.4559,0.6517
ChIJFcyAUAAb6zkRIP7mmjXQVHU,Crumbora Live Bakery,27.664036700000004,85.4215698,Bhaktapur durbar square,1161,0.1824,0.4019,0.4774,0.203
ChIJTVMCiEMb6zkR3cM1mKl0oHA,ELEGANT CAKES,27.6722426,85.4241006,Bhaktapur durbar square,3501,0.261,0.4108,0.4055,0.6121
ChIJHSl10Vsb6zkR-gAGMxyJuMo,The Norling Bakery,27.669225,85.4250245,Bhaktapur durbar square,3708,0.3313,0.4773,0.3885,0.6483
ChIJz5fmnugb6zkRDQW4y711j5I,Cake O’ Clock,27.6755555,85.4238632,Bhaktapur durbar square,1918,0.1693,0.3766,0.4831,0.3353
ChIJhymW6KQa6zkRIJBJ-ScSN-Y,Divya's Cakes & Snacks,27.6721332,85.42382889999999,Bhaktapur durbar square,3389,0.2455,0.4119,0.4157,0.5925
ChIJb9P4OQAb6zkR2YyjeZGso04,De 11:11 Cakes,27.664928,85.4225076,Bhaktapur durbar square,1400,0.2166,0.4174,0.4719,0.2448
ChIJszNwGwAb6zkRXxyWy8dH5d4,The A-One Bakery,27.6627558,85.4259439,Bhaktapur durbar square,1160,0.1731,0.395,0.4694,0.2028
ChIJA8Q9bB4b6zkRDyqrZiDUZGI,Occasions Cakery & Bakery,27.6724444,85.4328455,Bhaktapur durbar square,4953,0.296,0.4351,0.3989,0.8659
ChIJGYcBMzUb6zkRhAu1M0dMpE8,Naisha's Cake And Bake House,27.6758929,85.4304317,Bhaktapur durbar square,3340,0.2119,0.4757,0.4559,0.5839
ChIJfxj6_BQb6zkRQXXPh9QUySo,Ruffle Trufle Cakes- Best Cake Shop in Bhaktapur,27.6669347,85.4258921,Bhaktapur durbar square,2614,0.2587,0.4062,0.4573,0.457
