area,osmid,latitude,longitude
Baneshwor,1933482456,27.6865834,85.3431896
Baneshwor,1480868048,27.6873819,85.3393361
Baneshwor,1932009907,27.685075400000002,85.3321966
Baneshwor,1281234068,27.684463599999997,85.3416573
Baneshwor,1931981203,27.684341799999995,85.34165810000002
Baneshwor,1931981209,27.684452199999996,85.34151340000001
Baneshwor,1281234070,27.6829359,85.3354692
Baneshwor,1931993998,27.6829529,85.3357111
Baneshwor,1931989893,27.682649799999997,85.3354915
Baneshwor,1480867629,27.6829574,85.3351545
Baneshwor,1480868017,27.6867185,85.3359078
Baneshwor,1281234098,27.6833404,85.3340692
Baneshwor,1931989885,27.6823985,85.3338807
Baneshwor,13438910194,27.688047899999997,85.3327605
Baneshwor,1934705656,27.686483799999998,85.3284264
Baneshwor,1382902948,27.6863386,85.33286270000002
Baneshwor,1317078023,27.681118099999996,85.3419181
Baneshwor,6084075951,27.6811532,85.3421268
Baneshwor,1317078024,27.6861739,85.3440744
Baneshwor,6231298063,27.685483,85.3435058
Baneshwor,1317078188,27.686080299999997,85.3446087
Baneshwor,1933482453,27.6865967,85.3444734
Baneshwor,3826786241,27.6843826,85.3479485
Baneshwor,3045212586,27.6854006,85.3472827
Baneshwor,1317078075,27.682812999999992,85.3434137
Baneshwor,1317078096,27.6830958,85.3425019
Baneshwor,6054493837,27.683123100000003,85.3434042
Baneshwor,10113450297,27.685269699999996,85.3434958
Baneshwor,1909209732,27.681730200000004,85.341436
Baneshwor,1317078102,27.683212599999997,85.3453458
Baneshwor,10113509507,27.6841082,85.3450771
Baneshwor,1887753811,27.6835878,85.3461919
Baneshwor,2467145313,27.6831462,85.3450167
Baneshwor,1317078129,27.68547539999999,85.345707
Baneshwor,1317078276,27.68560229999999,85.3455148
Baneshwor,10113520824,27.685127900000005,85.346264
Baneshwor,6084381056,27.684642099999998,85.3458677
Baneshwor,1317078149,27.684458199999995,85.3445683
Baneshwor,10113401534,27.683953500000005,85.344044
Baneshwor,6231288062,27.683066499999992,85.3446232
Baneshwor,6231288064,27.685186499999997,85.3446119
Baneshwor,9870114223,27.686055299999996,85.3447457
Baneshwor,1317078211,27.686197799999995,85.3446458
Baneshwor,9870114227,27.686261199999997,85.3446733
Baneshwor,1317078221,27.685035199999998,85.3463947
Baneshwor,1317078337,27.6847708,85.3469815
Baneshwor,10113520820,27.684631799999995,85.345938
Baneshwor,1887753844,27.685942400000002,85.34536800000001
Baneshwor,6084381017,27.6843594,85.3456506
Baneshwor,6084381043,27.6848617,85.3470208
Baneshwor,6084381025,27.683972199999996,85.3465515
Baneshwor,1317084929,27.688879,85.3448007
Baneshwor,1350400437,27.6879724,85.3458261
Baneshwor,1350400222,27.689122600000005,85.3452729
Baneshwor,1350400274,27.6886256,85.3439781
Baneshwor,1317084931,27.6944699,85.3489871
Baneshwor,8531156666,27.694674800000005,85.348964
Baneshwor,1317085087,27.694378100000005,85.3498082
Baneshwor,8527133172,27.6945786,85.3485587
Baneshwor,1317084932,27.695047999999993,85.340662
Baneshwor,1317084935,27.695035299999997,85.3405889
Baneshwor,1317087874,27.6951602,85.3406557
Baneshwor,1950338917,27.6940247,85.3408125
Baneshwor,1317084955,27.694548,85.3399251
Baneshwor,2137067432,27.695323899999998,85.3397901
Baneshwor,1317084942,27.693078399999994,85.3513201
Baneshwor,6089424340,27.6930648,85.351348
Baneshwor,13475357815,27.6939558,85.3514206
Baneshwor,6059335856,27.6932485,85.3509229
Baneshwor,1317084945,27.6967028,85.34562520000001
